,id,attributes.channels
426,64347de07ed41a7e44d27adb,voice
427,64347de07ed41a7e44d27adb,sms
428,64347ddff26ac45e89de1a7c,email
429,64347dd4c54b386976adc482,voice
430,64347dd0a737f4913ede2e30,chat
431,64347dc4ed8c19428e27d7fc,voice
432,64347dc4a0fa0002cac6bb3f,voice
433,64347dc2897e51ac6e5a9ff3,voice
434,64347dbe4a42a6dcbf4c97f7,email
435,64347dbe4a42a6dcbf4c97f7,voice
436,64347db6a737f485d5de293c,voice
437,64347db3f92dbf4970e885f5,voice
438,64347db3f92dbf4970e885f5,sms
439,64347dab03e05944cccb5062,voice
440,64347d9e6cd79da1dcff04f8,voice
441,64347d973c36686329f72ebd,voice
442,64347d911e90c62ef3e9cd80,voice
443,64347d90f593ce955d44eb88,voice
444,64347d7e54e9f336491a9c65,email
445,64347d7903e0595f85cb4768,voice
446,64347d7823dba5dcf2fced3d,voice
447,64347d761e90c6376ae9c8b4,email
448,64347d74897e510e965a920b,chat
449,64347d72a0fa0028e5c6acbc,voice
450,64347d686ea24ac2a045c7bb,voice
451,64347d64f593ceac2944e3a2,chat
452,64347d6309d322406d707fb4,email
453,64347d624a42a657f54c86cb,voice
454,64347d624a42a657f54c86cb,email
455,64347d59ed8c191fab27c439,chat
456,64347d584eabdb66c515bd8b,voice
457,64347d584a42a6684b4c851c,email
458,64347d583c36686c8ef723dd,email
459,64347d4ae94dab6fecef16db,voice
460,64347d4ae94dab6fecef16db,sms
461,64347d34897e51074b5a86b7,voice
462,64347d25ead658acbfa5bfe6,voice
463,64347d156ea24afa0945b946,email
464,64347d06f26ac41276ddf480,voice
465,64347d06f26ac41276ddf480,email
466,64347d036ea24aa74a45b64a,email
467,64347d02ead658720fa5b9e3,voice
468,64347d02ead658720fa5b9e3,email
469,64347d02ead658da50a5b9da,email
470,64347cfae94dab7ecbef0918,email
471,64347ce44093dc3f8dc79ed9,chat
472,64347ce35edacd7ecb08c214,voice
473,64347cc6ead6580f19a5aeb8,voice
474,64347cc6ead6580f19a5aeb8,sms
475,64347cbac54b383dfead926b,chat
476,64347cb5ead658508ba5ac46,email
477,64347caf256b8f39d9cbbb3f,email
478,64347cabf92dbf3761e8583f,voice
479,64347c9b3c3668101ff702f6,voice
480,64347c9409d322311f705c44,email
481,64347c946ea24a9a0f45a280,email
482,64347c82c54b388508ad88e3,chat
483,64347c72f92dbf9957e84f0c,voice
484,64347c72fde4656652b92100,email
485,64347c6c1e90c61175e99a99,voice
486,64347c6c23dba51697fcbe51,voice
487,64347c65ead65812b5a59ea5,voice
488,64347c65ead658635ca59e9d,voice
489,64347c5f897e51b5d35a629c,chat
490,64347c5f897e5104115a628c,voice
491,64347c507ed41a5f19d235cc,voice
492,64347c46ed8c19c5552793b7,voice
493,64347c457ed41a4d1dd233ca,voice
494,64347c457ed41a362dd233c4,voice
495,64347c44b57357bacdfb9bb2,voice
496,64347c3cf26ac434f4ddd1f8,voice
497,64347c374093dc2ffac78181,email
498,64347c374093dc5c6fc7817d,voice
499,64347c374093dc5c6fc7817d,sms
500,64347c37ed8c196a8a2790d9,voice
501,64347c37ed8c196a8a2790d9,sms
502,64347c314093dcbf5dc780a5,voice
503,64347c2cead658cbefa594c3,email
504,64347c1df26ac46c38ddccb6,email
505,64347c1c6ea24acf98458e17,voice
506,64347c1c6ea24acf98458e17,sms
507,64347c19fde465d946b91227,voice
508,64347c19fde465d946b91227,sms
509,64347c17e94dab7944eee2b8,email
510,64347c156ea24a314f458d0e,voice
511,64347c141e90c652a9e98b98,chat
512,64347bf8a0fa003ae5c66bc1,voice
513,64347bf8a0fa003ae5c66bc1,sms
514,64347bf839530e100c95c7c8,chat
515,64347bf839530e0eab95c7c4,email
516,64347bf839530e321595c7c0,email
517,64347bf739530ed83395c7a8,
518,64347bf739530e529c95c7a3,voice
519,64347bf7ed8c198f22278547,email
520,64347bf723dba54389fca9f3,chat
521,64347bf44eabdb2f79157fd1,voice
522,64347bf44eabdb2f79157fd1,sms
523,64347bea713453dee193a01c,chat
524,64347be9fd27bdd4b8544b1e,email
525,64347be9b5735725defb8bfa,voice
526,64347be954e9f332161a57a8,chat
527,64347be4a0fa00e1f4c66804,voice
528,64347be4c54b384167ad6cc2,email
529,64347be24eabdb0e2c157c81,voice
530,64347bdc03e0593ea4caff09,voice
531,64347bd7256b8fffa2cb952d,voice
532,64347bd3713453fc09939bec,email
533,64347bc8f26ac4c60eddbdcc,voice
534,64347bc64093dc77a8c76dc5,voice
535,64347bb3c54b384b6bad63d2,chat
536,64347bb07134532de8939555,chat
537,64347ba923dba56aa8fc9ba2,chat
538,64347ba6c54b38ce40ad61fd,
539,64347ba6c54b385c9dad61f8,
540,64347ba6c54b3825c0ad61f4,email
541,64347ba6c54b3825c0ad61f4,voice
542,64347ba023dba57836fc99ea,voice
543,64347b9cfd27bd4f4d543d47,voice
544,64347b9cfd27bd4f4d543d47,email
